Time	 FAIRTEN1	 FAIRTEN2	 ANCHTEN1	 CON2PX	 CON2PY	 CON2FZ	 
(s)	 (N)     	 (N)     	 (N)     	 (m)     	 (m)     	 (N)     	 
0	 909656	 909729	 735821	 -426.94	 739.47	 -15776.8	 
0.1	 910149	 910177	 735772	 -426.94	 739.47	 -15776.8	 
0.125	 909390	 909545	 735723	 -426.94	 739.47	 -15776.8	 
0.15	 909902	 909985	 735672	 -426.94	 739.47	 -15776.8	 
0.175	 909732	 909889	 735621	 -426.94	 739.47	 -15776.8	 
0.2	 909654	 909810	 735570	 -426.94	 739.47	 -15776.8	 
0.225	 909596	 909718	 735519	 -426.94	 739.47	 -15776.8	 
0.25	 909544	 909654	 735467	 -426.94	 739.47	 -15776.8	 
0.275	 909507	 909489	 735416	 -426.94	 739.47	 -15776.8	 
0.3	 909454	 909400	 735367	 -426.94	 739.47	 -15776.8	 
0.325	 909411	 909232	 735323	 -426.94	 739.47	 -15776.8	 
0.35	 909358	 909128	 735287	 -426.94	 739.47	 -15776.8	 
0.375	 909288	 909007	 735261	 -426.94	 739.47	 -15776.8	 
0.4	 909230	 908906	 735248	 -426.94	 739.47	 -15776.8	 
0.425	 909139	 908800	 735247	 -426.94	 739.47	 -15776.8	 
0.45	 909073	 908704	 735255	 -426.94	 739.47	 -15776.8	 
0.475	 908986	 908564	 735268	 -426.94	 739.47	 -15776.8	 
0.5	 908918	 908477	 735278	 -426.94	 739.47	 -15776.8	 
0.525	 908853	 908344	 735282	 -426.94	 739.47	 -15776.8	 
0.55	 908790	 908266	 735275	 -426.94	 739.47	 -15776.8	 
0.575	 908740	 908213	 735257	 -426.94	 739.47	 -15776.8	 
0.6	 908685	 908156	 735229	 -426.94	 739.47	 -15776.8	 
0.625	 908636	 908189	 735193	 -426.94	 739.47	 -15776.8	 
0.65	 908589	 908162	 735151	 -426.94	 739.47	 -15776.8	 
0.675	 908535	 908208	 735104	 -426.94	 739.47	 -15776.8	 
0.7	 908497	 908206	 735051	 -426.94	 739.47	 -15776.8	 
0.725	 908456	 908209	 734992	 -426.94	 739.47	 -15776.8	 
0.75	 908430	 908217	 734928	 -426.94	 739.47	 -15776.8	 
0.775	 908420	 908198	 734860	 -426.94	 739.47	 -15776.8	 
0.8	 908413	 908211	 734789	 -426.94	 739.47	 -15776.7	 
0.825	 908430	 908222	 734718	 -426.94	 739.47	 -15776.7	 
0.85	 908438	 908238	 734648	 -426.94	 739.47	 -15776.7	 
0.875	 908456	 908281	 734582	 -426.94	 739.47	 -15776.7	 
0.9	 908465	 908292	 734520	 -426.94	 739.47	 -15776.7	 
0.925	 908460	 908316	 734464	 -426.94	 739.47	 -15776.7	 
0.95	 908458	 908309	 734413	 -426.94	 739.47	 -15776.7	 
0.975	 908422	 908278	 734367	 -426.94	 739.47	 -15776.7	 
1	 908402	 908239	 734326	 -426.94	 739.47	 -15776.7	 
1.025	 908348	 908174	 734290	 -426.94	 739.47	 -15776.7	 
1.05	 908311	 908105	 734261	 -426.94	 739.47	 -15776.7	 
1.075	 908247	 908056	 734239	 -426.94	 739.47	 -15776.7	 
1.1	 908197	 907978	 734225	 -426.94	 739.47	 -15776.7	 
1.125	 908116	 907966	 734221	 -426.94	 739.47	 -15776.7	 
1.15	 908056	 907900	 734226	 -426.94	 739.47	 -15776.7	 
1.175	 907953	 907917	 734239	 -426.94	 739.47	 -15776.7	 
1.2	 907884	 907876	 734257	 -426.94	 739.47	 -15776.7	 
1.225	 907761	 907906	 734279	 -426.94	 739.47	 -15776.7	 
1.25	 907688	 907894	 734300	 -426.94	 739.47	 -15776.7	 
1.275	 907564	 907939	 734317	 -426.94	 739.47	 -15776.7	 
1.3	 907492	 907957	 734329	 -426.94	 739.47	 -15776.7	 
1.325	 907381	 908029	 734332	 -426.94	 739.47	 -15776.8	 
1.35	 907318	 908078	 734326	 -426.94	 739.47	 -15776.8	 
1.375	 907221	 908181	 734310	 -426.94	 739.47	 -15776.8	 
1.4	 907170	 908260	 734284	 -426.94	 739.47	 -15776.8	 
1.425	 907077	 908386	 734248	 -426.94	 739.47	 -15776.8	 
1.45	 907037	 908485	 734201	 -426.94	 739.47	 -15776.8	 
1.475	 906941	 908619	 734144	 -426.94	 739.47	 -15776.8	 
1.5	 906911	 908729	 734077	 -426.94	 739.47	 -15776.8	 
1.525	 906815	 908859	 733999	 -426.94	 739.47	 -15776.8	 
1.55	 906793	 908970	 733912	 -426.94	 739.47	 -15776.8	 
1.575	 906702	 909094	 733816	 -426.94	 739.47	 -15776.8	 
1.6	 906683	 909201	 733715	 -426.94	 739.47	 -15776.8	 
1.625	 906595	 909326	 733608	 -426.94	 739.47	 -15776.8	 
1.65	 906575	 909427	 733500	 -426.94	 739.47	 -15776.8	 
1.675	 906474	 909560	 733391	 -426.94	 739.47	 -15776.8	 
1.7	 906445	 909658	 733283	 -426.94	 739.47	 -15776.8	 
1.725	 906316	 909796	 733177	 -426.94	 739.47	 -15776.8	 
1.75	 906270	 909889	 733074	 -426.94	 739.47	 -15776.8	 
1.775	 906113	 910020	 732972	 -426.94	 739.47	 -15776.8	 
1.8	 906054	 910116	 732871	 -426.94	 739.47	 -15776.8	 
1.825	 905872	 910218	 732771	 -426.94	 739.47	 -15776.9	 
1.85	 905786	 910302	 732672	 -426.94	 739.47	 -15776.9	 
1.875	 905600	 910389	 732573	 -426.94	 739.47	 -15776.9	 
1.9	 905501	 910472	 732475	 -426.94	 739.47	 -15776.9	 
1.925	 905317	 910559	 732376	 -426.94	 739.47	 -15776.9	 
1.95	 905203	 910638	 732276	 -426.94	 739.47	 -15776.9	 
1.975	 905009	 910723	 732175	 -426.94	 739.47	 -15776.9	 
2	 904897	 910812	 732071	 -426.94	 739.47	 -15776.9	 
2.025	 904712	 910908	 731962	 -426.94	 739.47	 -15776.9	 
2.05	 904599	 910999	 731847	 -426.94	 739.47	 -15776.9	 
2.075	 904436	 911099	 731724	 -426.94	 739.47	 -15776.9	 
2.1	 904326	 911189	 731593	 -426.94	 739.47	 -15776.9	 
2.125	 904182	 911283	 731453	 -426.94	 739.47	 -15777	 
2.15	 904091	 911383	 731305	 -426.94	 739.47	 -15777	 
2.175	 903975	 911497	 731148	 -426.94	 739.47	 -15777	 
2.2	 903908	 911610	 730985	 -426.94	 739.47	 -15777	 
2.225	 903799	 911742	 730818	 -426.94	 739.47	 -15777	 
2.25	 903750	 911868	 730647	 -426.94	 739.47	 -15777	 
2.275	 903656	 912031	 730475	 -426.94	 739.47	 -15777	 
2.3	 903611	 912158	 730303	 -426.94	 739.47	 -15777	 
2.325	 903519	 912324	 730134	 -426.94	 739.47	 -15777	 
2.35	 903476	 912450	 729970	 -426.94	 739.47	 -15777	 
2.375	 903383	 912603	 729812	 -426.94	 739.47	 -15777	 
2.4	 903345	 912729	 729661	 -426.94	 739.47	 -15777	 
2.425	 903241	 912856	 729522	 -426.94	 739.47	 -15777	 
2.45	 903187	 912960	 729393	 -426.94	 739.47	 -15777	 
2.475	 903078	 913077	 729279	 -426.94	 739.47	 -15777	 
2.5	 903008	 913158	 729178	 -426.94	 739.47	 -15777	 
2.525	 902872	 913245	 729092	 -426.94	 739.47	 -15777	 
2.55	 902793	 913307	 729021	 -426.94	 739.47	 -15777	 
2.575	 902628	 913353	 728964	 -426.94	 739.47	 -15777	 
2.6	 902534	 913385	 728918	 -426.94	 739.47	 -15777	 
2.625	 902351	 913389	 728884	 -426.94	 739.47	 -15777	 
2.65	 902248	 913392	 728857	 -426.94	 739.47	 -15777	 
2.675	 902062	 913368	 728837	 -426.94	 739.47	 -15777	 
2.7	 901966	 913354	 728821	 -426.94	 739.47	 -15777	 
2.725	 901781	 913318	 728807	 -426.94	 739.47	 -15777	 
2.75	 901690	 913290	 728793	 -426.94	 739.47	 -15777.1	 
2.775	 901524	 913273	 728777	 -426.94	 739.47	 -15777.1	 
2.8	 901445	 913241	 728756	 -426.94	 739.47	 -15777.1	 
2.825	 901297	 913248	 728729	 -426.94	 739.47	 -15777.1	 
2.85	 901240	 913226	 728693	 -426.94	 739.47	 -15777.1	 
2.875	 901119	 913261	 728648	 -426.94	 739.47	 -15777.1	 
2.9	 901095	 913263	 728592	 -426.94	 739.47	 -15777.1	 
2.925	 901011	 913326	 728525	 -426.94	 739.47	 -15777.1	 
2.95	 901001	 913337	 728447	 -426.94	 739.47	 -15777.1	 
2.975	 900954	 913428	 728359	 -426.94	 739.47	 -15777.1	 
3	 900978	 913467	 728263	 -426.94	 739.47	 -15777.1	 
3.025	 900956	 913583	 728162	 -426.94	 739.47	 -15777.1	 
